Cody's fc2 test
SEC,East,West,
ACC,Atlantic,Coastal,,,,,,,,
Big Ten,East,West,,,,,,,,
Big 12,Sheriff,Outlaw,,,,,,,,
Pac 12,North,South,,,,,,,,
AAC,East,West,,,,,,,,
# Team format:,Conference,Division,Name,Abbr,Prestige,Rival,,,,
# SEC,,,,,,,,,,
TEAM,SEC,West,Alabama,ALA,95,AUB,,,,
TEAM,SEC,West,Texas A&M,TAMU,80,SCAR,,,,
TEAM,SEC,West,LSU,LSU,85,UGA,,,,
TEAM,SEC,West,Auburn,AUB,85,ALA,,,,
TEAM,SEC,West,Mississippi St,MSST,75,MISS,,,,
TEAM,SEC,West,Ole Miss,MISS,75,MSST,,,,
TEAM,SEC,West,Arkansas,ARK,70,MIZ,,,,
TEAM,SEC,East,Georgia,UGA,90,LSU,,,,
TEAM,SEC,East,Florida,UF,87,TEN,,,,
TEAM,SEC,East,Tennessee,TEN,74,UF,,,,
TEAM,SEC,East,South Carolina,SCAR,75,TAMU,,,,
TEAM,SEC,East,Missouri,MIZ,75,ARK,,,,
TEAM,SEC,East,Kentucky,UK,70,VAN,,,,
TEAM,SEC,East,Vanderbilt,VAN,60,UK,,,,
# ACC,,,,,,,,,,
TEAM,ACC,Atlantic,Clemson,CLEM,90,LOU,,,,
TEAM,ACC,Atlantic,Florida St,FSU,86,UM,,,,
TEAM,ACC,Atlantic,Louisville,LOU,80,CLEM,,,,
TEAM,ACC,Atlantic,NC State,NCST,75,UNC,,,,
TEAM,ACC,Atlantic,Syracuse,SYR,75,PITT,,,,
TEAM,ACC,Atlantic,Boston College,BC,70,GT,,,,
TEAM,ACC,Atlantic,Wake Forest,WF,60,DUKE,,,,
TEAM,ACC,Coastal,Miami,UM,86,FSU,,,,
TEAM,ACC,Coastal,Virginia Tech,VT,80,UVA,,,,
TEAM,ACC,Coastal,UNC,UNC,77,NCST,,,,
TEAM,ACC,Coastal,Pittsburgh,PITT,73,SYR,,,,
TEAM,ACC,Coastal,Georgia Tech,GT,73,BC,,,,
TEAM,ACC,Coastal,Duke,DUKE,69,WF,,,,
TEAM,ACC,Coastal,Virginia,UVA,61,VT,,,,
# B10,,,,,,,,,,
TEAM,Big Ten,West,Wisconsin,WIS,88,NEB,,,,
TEAM,Big Ten,West,Nebraska,NEB,85,WIS,,,,
TEAM,Big Ten,West,Iowa,IOWA,80,MINN,,,,
TEAM,Big Ten,West,Northwestern,NW,78,ILL,,,,
TEAM,Big Ten,West,Purdue,PUR,71,IND,,,,
TEAM,Big Ten,West,Minnesota,MINN,67,IOWA,,,,
TEAM,Big Ten,West,Illinois,ILL,60,NW,,,,
TEAM,Big Ten,East,Ohio State,OSU,95,MICH,,,,
TEAM,Big Ten,East,Michigan,MICH,87,OSU,,,,
TEAM,Big Ten,East,Penn State,PSU,86,MSU,,,,
TEAM,Big Ten,East,Michigan St,MSU,84,PSU,,,,
TEAM,Big Ten,East,Maryland,MD,70,RUT,,,,
TEAM,Big Ten,East,Indiana,IND,73,PUR,,,,
TEAM,Big Ten,East,Rutgers,RUT,55,MD,,,,
# Big 12,,,,,,,,,,
TEAM,Big 12,Sheriff,Texas,TEX,87,OKL,,,,
TEAM,Big 12,Sheriff,Iowa State,ISU,78,BSU,,,,
TEAM,Big 12,Sheriff,TCU,TCU,79,TTU,,,,
TEAM,Big 12,Sheriff,Boise State,BSU,73,ISU,,,,
TEAM,Big 12,Sheriff,American Samoa,SAM,25,WYO,,,,
TEAM,Big 12,Sheriff,Texas Tech,TTU,75,TCU,,,,
TEAM,Big 12,Sheriff,Colorado St,CSU,60,WVU,,,,
TEAM,Big 12,Outlaw,Baylor,BAY,70,OKST,,,,
TEAM,Big 12,Outlaw,Oklahoma,OKL,90,TEX,,,,
TEAM,Big 12,Outlaw,Oklahoma St,OKST,84,BAY,,,,
TEAM,Big 12,Outlaw,Kansas St,KSU,79,KU,,,,
TEAM,Big 12,Outlaw,West Virginia,WVU,80,CSU,,,,
TEAM,Big 12,Outlaw,Wyoming,WYO,60,SAM,,,,
TEAM,Big 12,Outlaw,Kansas,KU,50,KSU,,,,
